,Rank,Title,Score,Your Score,0,genres,studio,voice actors,media type,year
532,533,MM!,7.27,,https://myanimelist.net/anime/8424/MM,"['Comedy', 'Ecchi', 'Harem', 'Seinen', 'Slice of Life']",Zexcs,"['Hayami, Saori', 'Matsuoka, Yoshitsugu', 'Kugimiya, Rie', 'Noto, Arisa', 'Iguchi, Yuka', 'Tanaka, Manami', 'Itou, Miku']",TV,2014
533,534,Renai Boukun,6.89,,https://myanimelist.net/anime/32262/Renai_Boukun,"['Action', 'Mecha', 'Sci-Fi', 'Seinen', 'Space']",Polygon Pictures,"['Toyosaki, Aki', 'Osaka, Ryota', 'Suzaki, Aya', 'Suzaki, Aya', 'Ohara, Sayaka', 'Arai, Satomi', 'Suzaki, Aya', 'Kanemoto, Hisako', 'Satou, Rina', 'Tanaka, Atsuko']",TV,2014
534,535,Koi to Uso,6.78,,https://myanimelist.net/anime/34934/Koi_to_Uso,"['Action', 'Ecchi', 'Fantasy', 'Harem', 'Military', 'Romance', 'Supernatural']",Silver Link.,"['Itou, Kanae', 'Nomizu, Iori', 'Hosoya, Yoshimasa', 'Shiraishi, Ryoko', 'Ueda, Reina', 'Ookubo, Rumi', 'Anzai, Chika', 'Yusa, Kouji', 'Tsuda, Kenjirou', 'Yamada, Natsumi']",TV,2015
535,536,Quanzhi Gaoshou,8.08,,https://myanimelist.net/anime/33926/Quanzhi_Gaoshou,"['Action', 'Game']",G.CMay Animation & Film,[],TV,2017
536,537,Working'!!,7.95,,https://myanimelist.net/anime/10521/Working,"['Comedy', 'Slice of Life', 'Seinen']",TMS Entertainment,"['Endou, Rina', 'Hayami, Saori', 'Nakamura, Yuuichi', 'Seki, Tomokazu', 'Tomatsu, Haruka', 'Kayano, Ai', 'Andou, Saaya', 'Shouki, Tsuru', 'Kuga, Komugi', 'Arai, Satomi']",TV,2016
537,538,Tsubasa Chronicle,7.63,,https://myanimelist.net/anime/177/Tsubasa_Chronicle,"['Slice of Life', 'Magic', 'Fantasy', 'Shounen']",Wit Studio,"['Tanezaki, Atsumi', 'Sakurai, Takahiro', 'Takeuchi, Ryouta', 'Uchiyama, Kouki', 'Endou, Aya', 'Kaida, Yuuko', 'Kuno, Misaki', 'Inoue, Kikuko', 'Satou, Hana', 'Fujiwara, Natsumi']",OVA,2016
538,539,Final Fantasy VII: Advent Children,7.87,,https://myanimelist.net/anime/317/Final_Fantasy_VII__Advent_Children,"['Action', 'Harem', 'Comedy', 'Demons', 'Supernatural', 'Romance', 'Ecchi', 'Fantasy']",Zexcs,"['Koshimizu, Ami', 'Shindou, Kei', 'Matsuoka, Yuki', 'Oogame, Asuka', 'Hirakawa, Daisuke', 'Nomizu, Iori', 'Nigo, Mayako', 'Takahashi, Chiaki', 'Mizuhara, Kaoru', 'Kosuge, Mami']",TV,2010
539,540,Fate/stay night: Unlimited Blade Works - Prologue,8.21,,https://myanimelist.net/anime/27821/Fate_stay_night__Unlimited_Blade_Works_-_Prologue,"['Action', 'Sci-Fi', 'Supernatural', 'School', 'Shounen']",Toei Animation,"['Muranaka, Tomo', 'Nakamura, Yuuichi', 'Kaji, Yuki', 'Tamura, Nao', 'Kugimiya, Rie', 'Midorikawa, Hikaru', 'Urawa, Megumi', 'Morita, Masakazu', 'Ishikawa, Kaito', 'Namikawa, Daisuke']",TV,2014
540,541,Berserk,6.68,,https://myanimelist.net/anime/32379/Berserk,"['Action', 'Harem', 'Comedy', 'Parody', 'Romance', 'Shounen']",SynergySP,"['Shiraishi, Ryoko', 'Kugimiya, Rie', 'Tanaka, Rie', 'Itou, Shizuka', 'Watanabe, Shinichi', 'Seki, Tomokazu', 'Matsuki, Miyu', 'Takahashi, Mikako', 'Yahagi, Sayuri', 'Ueda, Kana']",TV,2007
541,542,Taimadou Gakuen 35 Shiken Shoutai,7.04,,https://myanimelist.net/anime/24133/Taimadou_Gakuen_35_Shiken_Shoutai,"['Slice of Life', 'Mystery', 'Psychological', 'Drama', 'Fantasy']",Radix,"['Noda, Junko', 'Hirohashi, Ryou', 'Yajima, Akiko', 'Miyajima, Eri', 'Murai, Kazusa', 'Orikasa, Fumiko', 'Ooki, Tamio', 'Hisakawa, Aya', 'Suzuki, Chihiro', 'Mizuno, Manabi']",TV,2002
542,543,Amaama to Inazuma,7.56,,https://myanimelist.net/anime/32828/Amaama_to_Inazuma,"['Action', 'Adventure', 'Demons', 'Drama', 'Fantasy', 'Horror', 'Military', 'Romance', 'Seinen', 'Supernatural']",Millepensee,"['Iwanaga, Hiroaki', 'Yukinari, Toa', 'Mizuhara, Kaoru', 'Shimono, Hiro', 'Sakurai, Takahiro', 'Saito, Chiwa', 'Ootsuka, Akio', 'Okitsu, Kazuyuki']",TV,2016
543,544,Kanokon,6.63,,https://myanimelist.net/anime/3503/Kanokon,"['Action', 'Game']",G.CMay Animation & Film,[],ONA,2017
544,545,Tensei shitara Slime Datta Ken,8.32,,https://myanimelist.net/anime/37430/Tensei_shitara_Slime_Datta_Ken,"['Music', 'Slice of Life', 'Comedy']",Kyoto Animation,"['Hikasa, Yoko', 'Toyosaki, Aki', 'Taketatsu, Ayana', 'Kotobuki, Minako', 'Sato, Satomi', 'Yonezawa, Madoka', 'Sanada, Asami', 'Fujitou, Chika', 'Nagata, Yoriko', 'Itou, Mika']",Movie,2011
545,546,Mangaka-san to Assistant-san to The Animation,7.31,,https://myanimelist.net/anime/21863/Mangaka-san_to_Assistant-san_to_The_Animation,"['Action', 'Fantasy', 'Harem', 'Romance', 'School', 'Supernatural']",Diomedea,"['Ishikawa, Kaito', 'Yuuki, Aoi', 'Taketatsu, Ayana', 'Davidyuk, Jenya', 'Ogura, Yui', 'Omigawa, Chiaki', 'Kobayashi, Yuu', 'Machico', 'Hatano, Wataru', 'Uchida, Maaya']",TV,2015
546,547,Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru,7.55,,https://myanimelist.net/anime/2889/Bleach_Movie_2__The_DiamondDust_Rebellion_-_Mou_Hitotsu_no_Hyourinmaru,"['Action', 'Sci-Fi', 'Slice of Life', 'Sports', 'Drama']",TMS Entertainment,"['Hosoya, Yoshimasa', 'Yasumoto, Hiroki', 'Saitou, Shirou', 'Murase, Michiyo', 'Mori, Nanako', 'Suzuki, Tatsuhisa', 'Tamura, Makoto', 'Taneichi, Momoko', 'Reimi', 'Ogami, Shinnosuke']",TV,2018
547,548,Mahoutsukai no Yome: Hoshi Matsu Hito,8.23,,https://myanimelist.net/anime/32902/Mahoutsukai_no_Yome__Hoshi_Matsu_Hito,"['Game', 'Psychological', 'Seinen', 'Thriller']",Madhouse,"['Hagiwara, Masato', 'Hakuryuu', 'Tsukayama, Masane', 'Tachiki, Fumihiko', 'Uchida, Naoya', 'Yanaka, Hiroshi', 'Komoto, Masahiro', 'Sakurai, Toshiharu', 'Ishikawa, Hideo', 'Yao, Kazuki']",TV,2007
548,549,Seiken Tsukai no World Break,7.14,,https://myanimelist.net/anime/22663/Seiken_Tsukai_no_World_Break,"['Slice of Life', 'Drama', 'Romance', 'Shoujo']",Artland,"['Yazaki, Hiroshi', 'Sasaki, Nozomi', 'Kawakubo, Takuji', 'Yurin', 'Nakayama, Erina', 'Enomoto, Atsuko', 'Shimizu, Kaori', 'Ichinose, Hidekazu', 'Fuchizaki, Yuriko', 'Terasaki, Yuka']",TV,2006
549,550,Gyakkyou Burai Kaiji: Ultimate Survivor,8.32,,https://myanimelist.net/anime/3002/Gyakkyou_Burai_Kaiji__Ultimate_Survivor,"['Mystery', 'Comedy', 'Horror', 'Supernatural', 'Shoujo']",J.C.Staff,"['Tai, Yuuki', 'Nazuka, Kaori', 'Hamada, Kenji', 'Narita, Ken', 'Okamoto, Nobuhiko', 'Suzuki, Masami', 'Kugimiya, Rie', 'Okano, Kousuke', 'Manning, Jeff']",TV,2006
