,Rank,Title,Score,Your Score,0,genres,studio,voice actors,media type,year
221,222,"Pokemon  TV (276 eps)  Apr 1997 - Nov 2002  316,991 members",7.42,,https://myanimelist.net/anime/527/Pokemon,"['Dementia', 'Drama', 'Mystery', 'Psychological', 'Sci-Fi', 'Supernatural']",Triangle Staff,"['Shimizu, Kaori', 'Asada, Yoko', 'Hayami, Show', 'Oobayashi, Ryuusuke', 'Nakata, Jouji', 'Kawasumi, Ayako', 'Mutou, Sumi', 'Takimoto, Keito', 'Chikada, Wasei', 'Tezuka, Chiharu']",TV,1998
222,223,Kuroshitsuji II,7.45,,https://myanimelist.net/anime/6707/Kuroshitsuji_II,"['Action', 'Sci-Fi', 'Super Power']",J.C.Staff,"['Satou, Rina', 'Arai, Satomi', 'Itou, Kanae', 'Toyosaki, Aki', 'Abe, Atsushi', 'Iguchi, Yuka', 'Tanaka, Atsuko', 'Koyama, Kimiko', 'Noto, Mamiko', 'Kotobuki, Minako']",TV,2009
223,224,Serial Experiments Lain,8.00,,https://myanimelist.net/anime/339/Serial_Experiments_Lain,"['Harem', 'Comedy', 'Romance', 'Ecchi', 'School', 'Seinen']",feel.,"['Tatsumi, Yuiko', 'Taketatsu, Ayana', 'Takeuchi, Ken', 'Imai, Asami', 'Nagata, Yoriko', 'Shimura, Tomoyuki', 'Oogame, Asuka', 'Hanba, Tomoe', 'Furushima, Kiyotaka']",TV,2010
224,225,Toaru Kagaku no Railgun,7.82,,https://myanimelist.net/anime/6213/Toaru_Kagaku_no_Railgun,"['Sci-Fi', 'Harem', 'Comedy', 'Supernatural', 'Romance', 'Ecchi', 'Shounen']",AIC A.S.T.A.,"['Hayami, Saori', 'Hoshi, Soichiro', 'Nomizu, Iori', 'Suzuki, Tatsuhisa', 'Mina', 'Takagaki, Ayahi', 'Iwasaki, Hiroshi', 'Kosugi, Juurouta', 'Oogame, Asuka', 'Miki, Shinichiro']",TV,2009
225,226,Orange,7.71,,https://myanimelist.net/anime/32729/Orange,"['Harem', 'Slice of Life', 'Comedy', 'Romance', 'School']",AIC Build,"['Itou, Kanae', 'Inoue, Marina', 'Fukuen, Misato', 'Kimura, Ryouhei', 'Hanazawa, Kana', 'Iguchi, Yuka', 'Yamamoto, Nozomi', 'Katou, Emiri', 'Ise, Mariya', 'Okiayu, Ryotaro']",TV,2013
226,227,Kuroko no Basket 3rd Season,8.52,,https://myanimelist.net/anime/24415/Kuroko_no_Basket_3rd_Season,"['Comedy', 'Sports', 'School', 'Shounen']",Production I.G,"['Ono, Kensho', 'Ono, Yuuki', 'Suwabe, Junichi', 'Kamiya, Hiroshi', 'Kimura, Ryouhei', 'Ono, Daisuke', 'Suzumura, Kenichi', 'Hamada, Kenji', 'Suzuki, Tatsuhisa', 'Orikasa, Fumiko']",TV,2015
227,228,Steins;Gate 0,8.65,,https://myanimelist.net/anime/30484/Steins_Gate_0,"['Sci-Fi', 'Drama', 'Romance', 'School', 'Shoujo']",Telecom Animation Film,"['Furukawa, Makoto', 'Yamashita, Seiichirou', 'Hanazawa, Kana', 'Okitsu, Kazuyuki', 'Takamori, Natsumi', 'Kinugawa, Rika', 'Noto, Mamiko', 'Tsuboi, Tomohiro', 'Sakura, Ayane', 'Yamaguchi, Kyouko']",TV,2016
228,229,Kiss x Sis (TV),6.94,,https://myanimelist.net/anime/7593/Kiss_x_Sis_TV,"['Slice of Life', 'Comedy', 'Drama', 'Romance', 'Fantasy', 'Shoujo']",Studio Deen,"['Seki, Tomokazu', 'Horie, Yui', 'Hisakawa, Aya', 'Okiayu, Ryotaro', 'Saitou, Ayaka', 'Suyama, Akio', 'Miyamoto, Mitsuru', 'Inoue, Kazuhiko', 'Nazuka, Kaori', 'Murasaki, Wakaba']",TV,2001
229,230,Boku wa Tomodachi ga Sukunai Next,7.56,,https://myanimelist.net/anime/14967/Boku_wa_Tomodachi_ga_Sukunai_Next,"['Drama', 'Game', 'Mystery', 'Psychological', 'School', 'Shounen']",MAPPA,"['Hayami, Saori', 'Tanaka, Minami', 'Tokutake, Tatsuya', 'Ise, Mariya', 'Sawashiro, Miyuki', 'Udono, Mayu', 'Sawashiro, Miyuki', 'Wakai, Yuki', 'Serizawa, Yuu', 'Fukuhara, Ayaka']",TV,2017
230,231,Yuri!!! on Ice,8.15,,https://myanimelist.net/anime/32995/Yuri_on_Ice,"['Action', 'Adventure', 'Historical', 'Martial Arts', 'Romance']",White Fox,"['Kumai, Motoko', 'Tamura, Yukari', 'Nakahara, Mai', 'Tomatsu, Haruka', 'Koyama, Rikiya', 'Itou, Miyako', 'Okiayu, Ryotaro', 'Hirohashi, Ryou', 'Yuuya, Atsuko', 'Itou, Shizuka']",TV,2010
231,232,Sora no Otoshimono,7.55,,https://myanimelist.net/anime/5958/Sora_no_Otoshimono,"['Action', 'Drama', 'Seinen']",Manglobe,"['Tsuda, Kenjirou', 'Suwabe, Junichi', 'Noto, Mamiko', 'Yoshino, Hiroyuki', 'Ueda, Kana', 'Komatsu, Mikako', 'Hashizume, Tomohisa', 'Yuuki, Aoi', 'Sakurai, Takahiro', 'Izawa, Shiori']",TV,2015
232,233,Steins;Gate Movie: Fuka Ryouiki no DÃ©jÃ vu,8.57,,https://myanimelist.net/anime/11577/Steins_Gate_Movie__Fuka_Ryouiki_no_Déjà_vu,"['Sci-Fi', 'Drama']",White Fox,"['Miyano, Mamoru', 'Imai, Asami', 'Hanazawa, Kana', 'Tamura, Yukari', 'Seki, Tomokazu', 'Kobayashi, Yuu', 'Momoi, Haruko', 'Gotou, Saori', 'Terasoma, Masaki', 'Yamamoto, Ayano']",Movie,2013
233,234,Nisekoi:,7.49,,https://myanimelist.net/anime/27787/Nisekoi_,"['Comedy', 'Harem', 'Romance', 'School', 'Shounen']",Shaft,"['Touyama, Nao', 'Hanazawa, Kana', 'Uchiyama, Kouki', 'Komatsu, Mikako', 'Asumi, Kana', 'Kaji, Yuki', 'Sakura, Ayane', 'Uchiyama, Yumi', 'Hiyama, Nobuyuki', 'Toyoguchi, Megumi']",TV,2015
234,235,Overlord II,7.98,,https://myanimelist.net/anime/35073/Overlord_II,"['Slice of Life', 'Supernatural', 'Drama', 'Fantasy', 'Shoujo']",Brain's Base,"['Kamiya, Hiroshi', 'Inoue, Kazuhiko', 'Kobayashi, Sanae', 'Horie, Kazuma', 'Yajima, Akiko', 'Ishida, Akira', 'Okamura, Akemi', 'Yukino, Satsuki', 'Itou, Miki', 'Yuzuki, Ryouka']",TV,2008
235,236,Tokyo Ghoul:re,7.35,,https://myanimelist.net/anime/36511/Tokyo_Ghoul_re,"['Comedy', 'Sports']",MAPPA,"['Suwabe, Junichi', 'Toyonaga, Toshiyuki', 'Uchiyama, Kouki', 'Ono, Kensho', 'Hosoya, Yoshimasa', 'Murase, Ayumu', 'Miyano, Mamoru', 'Yasumoto, Hiroki', 'Nojima, Kenji', 'Honjou, Yuutaro']",TV,2016
236,237,Katanagatari,8.43,,https://myanimelist.net/anime/6594/Katanagatari,"['Comedy', 'Supernatural', 'Romance', 'Shounen']",David Production,"['Nakamura, Yuuichi', 'Hidaka, Rina', 'Hanazawa, Kana', 'Miyano, Mamoru', 'Sugita, Tomokazu', 'Eguchi, Takuya', 'Hosoya, Yoshimasa', 'Hikasa, Yoko', 'Toyosaki, Aki', 'Murase, Katsuki']",TV,2012
237,238,Gangsta.,7.45,,https://myanimelist.net/anime/25183/Gangsta,"['Comedy', 'School', 'Shounen', 'Slice of Life']",GoHands,"['Hikasa, Yoko', 'Yahagi, Sayuri', 'Asanuma, Shintaro', 'Sato, Satomi', 'Arai, Satomi', 'Omigawa, Chiaki', 'Kobayashi, Yuu', 'Shimoda, Asami', 'Tamura, Mutsumi', 'Katou, Emiri']",TV,2010
238,239,"Fruits Basket  TV (26 eps)  Jul 2001 - Dec 2001  305,252 members",7.77,,https://myanimelist.net/anime/120/Fruits_Basket,"['Action', 'Fantasy', 'Military', 'Sci-Fi']",ufotable,"['Sakamoto, Maaya', 'Kijima, Ryuuichi', 'Hirata, Hiroaki', 'Nakai, Kazuya', 'Ohara, Sayaka', 'Sakaguchi, Daisuke', 'Kakuma, Ai', 'Tanaka, Atsuko', 'Omigawa, Chiaki']",TV,2015
239,240,Natsume Yuujinchou,8.39,,https://myanimelist.net/anime/4081/Natsume_Yuujinchou,"['Action', 'Mystery', 'Horror', 'Supernatural', 'Seinen']",Polygon Pictures,"['Miyano, Mamoru', 'Ootsuka, Houchuu', 'Hosoya, Yoshimasa', 'Komatsu, Mikako', 'Fukuyama, Jun', 'Sakurai, Takahiro', 'Kinoshita, Hiroyuki', 'Hirakawa, Daisuke', 'Suzaki, Aya', 'Miyazaki, Atsuyoshi']",TV,2016
240,241,Shokugeki no Souma: San no Sara,8.46,,https://myanimelist.net/anime/35788/Shokugeki_no_Souma__San_no_Sara,"['Action', 'Ecchi', 'Fantasy', 'Romance', 'Harem', 'Demons']",Production IMS,"['Asai, Ayaka', 'Nakamura, Yuuichi', 'Fukuhara, Kaori', 'Bridcutt, Sarah Emi', 'Asakawa, Yuu', 'Yoshida, Seiko', 'Nomizu, Iori', 'Sugita, Tomokazu', 'Fujiwara, Keiji', 'Nishihara, Kumiko']",TV,2015
241,242,Nanatsu no Taizai: Imashime no Fukkatsu,8.30,,https://myanimelist.net/anime/34577/Nanatsu_no_Taizai__Imashime_no_Fukkatsu,"['Adventure', 'Fantasy', 'Mystery', 'Shounen', 'Supernatural']",Xebec,"['Ishida, Akira', 'Toriumi, Kousuke', 'Kawasumi, Ayako', 'Minagawa, Junko', 'Hanazawa, Kana', 'Nojima, Hirofumi', 'Fukuyama, Jun', 'Ono, Daisuke', 'Kawasumi, Ayako', 'Yamaguchi, Kappei']",TV,2009
242,243,Shinmai Maou no Testament,7.05,,https://myanimelist.net/anime/23233/Shinmai_Maou_no_Testament,"['Action', 'Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Romance', 'School', 'Sci-Fi', 'Supernatural']",A-1 Pictures,"['Ozawa, Ari', 'Kakuma, Ai', 'Tamaru, Atsushi', 'Izawa, Shiori', 'Touyama, Nao', 'Chisuga, Haruka', 'Uchiyama, Yumi', 'Akasaki, Chinatsu', 'Uchida, Yuuma', 'Nakahara, Mai']",TV,2015
243,244,Gakusen Toshi Asterisk,7.10,,https://myanimelist.net/anime/30544/Gakusen_Toshi_Asterisk,"['Comedy', 'School', 'Seinen', 'Slice of Life']",Doga Kobo,"['Tanaka, Aimi', 'Nojima, Kenji', 'Kageyama, Akari', 'Shiraishi, Haruka', 'Furukawa, Yurina', 'Yasumoto, Hiroki', 'Koshimizu, Ami', 'Kakihara, Tetsuya', 'Asano, Masumi', 'Maeda, Hiroki']",TV,2015
244,245,Ajin,7.65,,https://myanimelist.net/anime/31580/Ajin,"['Drama', 'Harem', 'Psychological', 'Romance', 'School']",8bit,"['Sakurai, Takahiro', 'Mizuhashi, Kaori', 'Taguchi, Hiroko', 'Tanaka, Ryouko', 'Shimizu, Ai', 'Tamiyasu, Tomoe', 'Tomonaga, Akane', 'Narumi, Erika', 'Yanase, Natsumi']",TV,2014
245,246,God Eater,7.47,,https://myanimelist.net/anime/27631/God_Eater,"['Action', 'Comedy', 'Demons', 'Supernatural', 'Martial Arts', 'Shounen']",Studio Pierrot,"['Sasaki, Nozomu', 'Hiyama, Nobuyuki', 'Ogata, Megumi', 'Chiba, Shigeru', 'Miyuki, Sanae', 'Genda, Tessyo', 'Ishida, Akira', 'Hayashibara, Megumi', 'Yamaguchi, Kappei', 'Tanaka, Mayumi']",TV,1992
246,247,Inu x Boku SS,7.62,,https://myanimelist.net/anime/11013/Inu_x_Boku_SS,"['Adventure', 'Historical', 'Romance', 'Fantasy']",Brain's Base,"['Koshimizu, Ami', 'Fukuyama, Jun', 'Park, Romi', 'Watanabe, Akeno', 'Koyama, Rikiya', 'Chiba, Saeko', 'Nakayama, Sara', 'Uchida, Yuuya', 'Sasajima, Kaoru']",TV,2009
247,248,Himouto! Umaru-chan,7.37,,https://myanimelist.net/anime/28825/Himouto_Umaru-chan,"['Action', 'Adventure', 'Comedy', 'Historical', 'Romance', 'Samurai', 'Shounen']",Studio Gallop,"['Suzukaze, Mayo', 'Ueda, Yuji', 'Fujitani, Miki', 'Tominaga, Miina', 'Suzuoki, Hirotaka', 'Ikeda, Masanori', 'Hidaka, Noriko', 'Ikeda, Shuuichi', 'Yasuhara, Yoshito', 'Sakurai, Tomo']",TV,1996
248,249,Seitokai Yakuindomo,7.67,,https://myanimelist.net/anime/8675/Seitokai_Yakuindomo,"['Action', 'Demons', 'Supernatural', 'Fantasy', 'Shounen']",A-1 Pictures,"['Okamoto, Nobuhiko', 'Fukuyama, Jun', 'Kamiya, Hiroshi', 'Takagaki, Ayahi', 'Satou, Rina', 'Hanazawa, Kana', 'Hirata, Hiroaki', 'Nakai, Kazuya', 'Yusa, Kouji', 'Kitamura, Eri']",TV,2017
249,250,Grisaia no Kajitsu,7.67,,https://myanimelist.net/anime/17729/Grisaia_no_Kajitsu,"['Action', 'Harem', 'Comedy', 'Magic', 'Ecchi', 'Fantasy', 'School']",Artland,"['Kondou, Takashi', 'Yuuki, Aoi', 'Toyosaki, Aki', 'Hikasa, Yoko', 'Itou, Shizuka', 'Yonaga, Tsubasa', 'Hirohashi, Ryou', 'Nakata, Jouji', 'Tomatsu, Haruka', 'Mizuhara, Kaoru']",TV,2010
250,251,YuuâYuuâHakusho,8.48,,https://myanimelist.net/anime/392/Yuu☆Yuu☆Hakusho,"['Comedy', 'Harem', 'Mecha', 'Romance', 'School', 'Sci-Fi']",Production IMS,"['Inoue, Marina', 'Nomizu, Iori', 'Togashi, Misuzu', 'Taketatsu, Ayana', 'Zougou, Saeko', 'Chihara, Minori', 'Sanada, Asami', 'Bridcutt, Sarah Emi', 'Endou, Aya', 'Uchida, Maaya']",TV,2014
251,252,Ao no Exorcist: Kyoto Fujouou-hen,7.67,,https://myanimelist.net/anime/33506/Ao_no_Exorcist__Kyoto_Fujouou-hen,"['Action', 'Adventure', 'Harem', 'Comedy', 'Magic', 'Romance', 'Ecchi', 'Fantasy', 'School']",J.C.Staff,"['Kugimiya, Rie', 'Hino, Satoshi', 'Inokuchi, Yuka', 'Gotou, Tetsuo', 'Kawasumi, Ayako', 'Noto, Mamiko', 'Horie, Yui', 'Inoue, Nanako', 'Sakurai, Takahiro', 'Hirakawa, Daisuke']",TV,2008
252,253,Youjo Senki,8.13,,https://myanimelist.net/anime/32615/Youjo_Senki,"['Action', 'Sci-Fi', 'Mystery', 'Super Power']",Bones,"['Kiuchi, Hidenobu', 'Sawaki, Ikuya', 'Hanazawa, Kana', 'Mizuki, Nana', 'Asai, Kiyomi', 'Fukuen, Misato', 'Kawakami, Tomoko', 'Matsumoto, Yasunori', 'Saiga, Mitsuki', 'Katou, Emiri']",TV,2009
253,254,Pandora Hearts,7.84,,https://myanimelist.net/anime/5530/Pandora_Hearts,"['Mystery', 'Psychological', 'Supernatural', 'Thriller']",Studio Deen,"['Nakahara, Mai', 'Tamura, Yukari', 'Yukino, Satsuki', 'Yukino, Satsuki', 'Horie, Yui', 'Hoshi, Soichiro', 'Kanai, Mika', 'Itou, Miki', 'Tamura, Yukari', 'Chafurin']",TV,2007
254,255,Ookami to Koushinryou II,8.42,,https://myanimelist.net/anime/5341/Ookami_to_Koushinryou_II,"['Josei', 'Slice of Life']",Production I.G,"['Matsuura, Ayu', 'Tsuchida, Hiroshi', 'Sakai, Noa', 'Ohara, Sayaka', 'Sakamoto, Maaya', 'Uchiyama, Yumi', 'Arikawa, Hiroshi', 'Mizushima, Takahiro', 'Waki, Tomohiro', 'Hirakawa, Daisuke']",TV,2011
255,256,Date A Live II,7.44,,https://myanimelist.net/anime/19163/Date_A_Live_II,"['Ecchi', 'School', 'Shounen']",J.C.Staff,"['Matsuoka, Yoshitsugu', 'Kanemoto, Hisako', 'Takahashi, Minami', 'Akasaki, Chinatsu', 'Itou, Shizuka', 'Okamoto, Nobuhiko', 'Sakurai, Takahiro', 'Ishigami, Shizuka', 'Koyama, Rikiya', 'Hanae, Natsuki']",TV,2017
256,257,Rurouni Kenshin: Meiji Kenkaku Romantan,8.39,,https://myanimelist.net/anime/45/Rurouni_Kenshin__Meiji_Kenkaku_Romantan,"['Action', 'Magic', 'Romance', 'Fantasy', 'Shounen']",Gonzo,"['Watanabe, Akeno', 'Fujimura, Ayumi', 'Morinaga, Rika', 'Takahashi, Chiaki', 'Sakai, Kanako', 'Makino, Yui', 'Shindou, Kei', 'Koyama, Rikiya', 'Terasoma, Masaki', 'Miyajima, Eri']",TV,2007
257,258,Ichiban Ushiro no Daimaou,7.11,,https://myanimelist.net/anime/7088/Ichiban_Ushiro_no_Daimaou,"['Harem', 'Comedy', 'Supernatural', 'Romance', 'School']",J.C.Staff,"['Ogura, Yui', 'Ishihara, Kaori', 'Kaji, Yuki', 'Tamura, Yukari', 'Sakurai, Harumi', 'Terakawa, Aimi', 'Takakura, Yuka', 'Suzaki, Aya', 'Kubo, Yurika', 'Takahashi, Minami']",TV,2013
258,259,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.97,,https://myanimelist.net/anime/32935/Haikyuu__Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou,"['Sci-Fi', 'Thriller']",White Fox,"['Miyano, Mamoru', 'Imai, Asami', 'Hanazawa, Kana', 'Tamura, Yukari', 'Seki, Tomokazu', 'Yahagi, Sayuri', 'Kobayashi, Yuu', 'Momoi, Haruko', 'Gotou, Saori', 'Terasoma, Masaki']",TV,2018
259,260,Eromanga-sensei,6.84,,https://myanimelist.net/anime/32901/Eromanga-sensei,"['Sci-Fi', 'Comedy', 'Super Power', 'Supernatural', 'Romance']",Shaft,"['Asumi, Kana', 'Terashima, Takuma', 'Tachibana, Shinnosuke', 'Nakahara, Mai', 'Miyano, Mamoru', 'Kaida, Yuuko', 'Hanazawa, Kana', 'Hoshi, Soichiro', 'Kashiyama, Nanami', 'Togashi, Misuzu']",TV,2014
260,261,Usagi Drop,8.51,,https://myanimelist.net/anime/10162/Usagi_Drop,"['Comedy', 'Demons', 'Supernatural', 'Romance', 'Fantasy', 'Shoujo']",TMS Entertainment,"['Tachibana, Shinnosuke', 'Mimori, Suzuko', 'Okamoto, Nobuhiko', 'Kishio, Daisuke', 'Suwabe, Junichi', 'Suwabe, Junichi', 'Horie, Yui', 'Ishida, Akira', 'Ookubo, Chika', 'Namikawa, Daisuke']",TV,2012
261,262,Zero no Tsukaima: Princesses no Rondo,7.54,,https://myanimelist.net/anime/3712/Zero_no_Tsukaima__Princesses_no_Rondo,"['Magic', 'Military']",Nut,"['Yuuki, Aoi', 'Hayami, Saori', 'Ootsuka, Houchuu', 'Miki, Shinichiro', 'Genda, Tessyo', 'Tobita, Nobuo', 'Horiuchi, Kenyuu', 'Tomatsu, Haruka', 'Hamano, Daiki', 'Tezuka, Hideaki']",TV,2017
262,263,No Game No Life: Zero,8.65,,https://myanimelist.net/anime/33674/No_Game_No_Life__Zero,"['Harem', 'Comedy', 'Romance', 'Ecchi', 'School']",A-1 Pictures,"['Yasuno, Kiyono', 'Kayano, Ai', 'Oonishi, Saori', 'Matsuoka, Yoshitsugu', 'Yahagi, Sayuri', 'Akasaki, Chinatsu', 'Uchida, Yuuma', 'Kakihara, Tetsuya', 'Okuno, Kaya', 'Tanabe, Rui']",TV,2015
263,264,Saenai Heroine no Sodatekata,7.64,,https://myanimelist.net/anime/23277/Saenai_Heroine_no_Sodatekata,"['Action', 'Psychological', 'Supernatural', 'Mystery', 'Drama', 'Horror', 'Seinen']",Studio Pierrot,"['Hanae, Natsuki', 'Hanae, Natsuki', 'Sakura, Ayane', 'Ishikawa, Kaito', 'Fujiwara, Natsumi', 'Uchida, Yuuma', 'Amamiya, Sora', 'Kugimiya, Rie', 'Miyano, Mamoru', 'Sakurai, Takahiro']",TV,2018
264,265,Black Clover,6.81,,https://myanimelist.net/anime/34572/Black_Clover,"['Harem', 'Comedy', 'Romance', 'Ecchi', 'School']",feel.,"['Iguchi, Yuka', 'Kitamura, Eri', 'Kobayashi, Yuu', 'Ise, Mariya', 'Asumi, Kana', 'Hanazawa, Kana', 'Fujiwara, Keiji', 'Mogami, Tsuguo', 'Miyashita, Eiji', 'Chihara, Minori']",TV,2011
265,266,Darker than Black: Ryuusei no Gemini,7.56,,https://myanimelist.net/anime/6573/Darker_than_Black__Ryuusei_no_Gemini,"['Action', 'Drama', 'Fantasy', 'Military', 'Mystery', 'Shounen', 'Super Power']",Wit Studio,"['Ishikawa, Yui', 'Kaji, Yuki', 'Inoue, Marina', 'Kamiya, Hiroshi', 'Kobayashi, Yuu', 'Park, Romi', 'Ono, Daisuke', 'Taniyama, Kishou', 'Fujita, Saki', 'Mikami, Shiori']",TV,2018
266,267,Kamisama Hajimemashita,8.13,,https://myanimelist.net/anime/14713/Kamisama_Hajimemashita,"['Action', 'Harem', 'Supernatural', 'Romance', 'Ecchi', 'School']",8bit,"['Yamamoto, Nozomi', 'Yamazaki, Haruka', 'Matsuoka, Yoshitsugu', 'Imamura, Ayaka', 'Suwa, Ayaka', 'Tamura, Yukari', 'Horie, Yui', 'Tomatsu, Haruka', 'Kawahara, Yoshihisa', 'Hanae, Natsuki']",TV,2015
267,268,Kaze no Stigma,7.42,,https://myanimelist.net/anime/1691/Kaze_no_Stigma,"['Comedy', 'Drama', 'Romance', 'Ecchi']",A-1 Pictures,"['Fujita, Akane', 'Matsuoka, Yoshitsugu', 'Hanazawa, Kana', 'Taketatsu, Ayana', 'Nakamura, Yuuichi', 'Takahashi, Minami', 'Nabatame, Hitomi', 'Kido, Ibuki', 'Oonishi, Saori', 'Ishikawa, Yui']",TV,2017
268,269,Dragon Ball Super,7.72,,https://myanimelist.net/anime/30694/Dragon_Ball_Super,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",Production I.G,"['Murase, Ayumu', 'Ishikawa, Kaito', 'Okamoto, Nobuhiko', 'Namikawa, Daisuke', 'Uchiyama, Kouki', 'Nakamura, Yuuichi', 'Irino, Miyu', 'Kimura, Ryouhei', 'Hayashi, Yuu', 'Saitou, Souma']",TV,2016
269,270,Hentai Ouji to Warawanai Neko.,7.37,,https://myanimelist.net/anime/15225/Hentai_Ouji_to_Warawanai_Neko,"['Action', 'Mystery', 'Supernatural']",Shuka,"['Kamiya, Hiroshi', 'Ono, Daisuke', 'Sawashiro, Miyuki', 'Fukuyama, Jun', 'Toyonaga, Toshiyuki', 'Hanazawa, Kana', 'Miyano, Mamoru', 'Kuroda, Takaya', 'Nakamura, Yuuichi', 'Takagaki, Ayahi']",TV,2015
270,271,Higurashi no Naku Koro ni Kai,8.33,,https://myanimelist.net/anime/1889/Higurashi_no_Naku_Koro_ni_Kai,"['Music', 'Slice of Life', 'Comedy', 'Drama', 'Romance', 'Shoujo']",Madhouse,"['Park, Romi', 'Kawana, Midori', 'Ishida, Akira', 'Seki, Tomokazu', 'Kawahara, Yoshihisa', 'Kiuchi, Hidenobu', 'Morikawa, Toshiyuki', 'Hirano, Aya', 'Honda, Takako', 'Chiba, Saeko']",TV,2006
271,272,Absolute Duo,6.74,,https://myanimelist.net/anime/25397/Absolute_Duo,"['Action', 'Seinen']",Madhouse,"['Toyoguchi, Megumi', 'Namikawa, Daisuke', 'Isobe, Tsutomu', 'Hirata, Hiroaki', 'Koyama, Mami', 'Morikawa, Toshiyuki', 'Karasawa, Jun', 'Sasaki, Youko', 'Kaneda, Tomoko', 'Yaguchi, Asami']",TV,2006
272,273,Mekakucity Actors,7.18,,https://myanimelist.net/anime/21603/Mekakucity_Actors,"['Action', 'Adventure', 'Fantasy', 'Game', 'Magic', 'Supernatural']",Madhouse,"['Hino, Satoshi', 'Hara, Yumi', 'Uesaka, Sumire', 'Numakura, Manami', 'Chiba, Shigeru', 'Katou, Masayuki', 'Hanamori, Yumiri', 'Shindou, Kei', 'Seto, Asami', 'Komatsu, Mikako']",TV,2018
273,274,Mayo Chiki!,7.46,,https://myanimelist.net/anime/10110/Mayo_Chiki,"['Action', 'Drama', 'Historical']",Shuka,"['Kondou, Takashi', 'Eguchi, Takuya', 'Saitou, Souma', 'Tsuda, Kenjirou', 'Ono, Daisuke', 'Nishiyama, Koutarou', 'Furukawa, Makoto', 'Kase, Yasuyuki', 'Kimura, Subaru', 'Sakurai, Takahiro']",TV,2016
274,275,91 Days,7.88,,https://myanimelist.net/anime/32998/91_Days,"['Fantasy', 'Romance', 'Drama', 'Shoujo']",Bones,"['Hayami, Saori', 'Osaka, Ryota', 'Okamoto, Nobuhiko', 'Nazuka, Kaori', 'Umehara, Yuuichirou', 'Sanpei, Yuuko', 'Ishida, Akira', 'Fukuyama, Jun', 'Toyonaga, Toshiyuki', 'Kaida, Yuuko']",TV,2015
275,276,Durarara!!x2 Shou,8.10,,https://myanimelist.net/anime/23199/Durararax2_Shou,"['Slice of Life', 'Comedy', 'Romance']",A-1 Pictures,"['Hanazawa, Kana', 'Taketatsu, Ayana', 'Nakamura, Yuuichi', 'Hayami, Saori', 'Sato, Satomi', 'Nabatame, Hitomi', 'Tamura, Yukari', 'Tamura, Yukari', 'Kuno, Misaki', 'Ise, Mariya']",TV,2013
276,277,Akagami no Shirayuki-hime,7.91,,https://myanimelist.net/anime/30123/Akagami_no_Shirayuki-hime,"['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Fantasy', 'Shounen']",Toei Animation,"['Nozawa, Masako', 'Horikawa, Ryo', 'Nozawa, Masako', 'Furukawa, Toshio', 'Kusao, Takeshi', 'Kusao, Takeshi', 'Itou, Miki', 'Tsuru, Hiromi', 'Nozawa, Masako', 'Tanaka, Mayumi']",TV,2015
277,278,Nana,8.50,,https://myanimelist.net/anime/877/Nana,"['Comedy', 'Supernatural', 'Romance', 'Ecchi']",Shaft,"['Kamiya, Hiroshi', 'Horie, Yui', 'Sakamoto, Maaya', 'Sakurai, Takahiro', 'Kitamura, Eri', 'Iguchi, Yuka']",TV,2012
278,279,One Punch Man 2,,,https://myanimelist.net/anime/34134/One_Punch_Man_2,"['Action', 'Comedy', 'Fantasy', 'Slice of Life', 'Supernatural']",Kyoto Animation,"['Uesaka, Sumire', 'Hayami, Saori', 'Uchida, Maaya', 'Shimono, Hiro', 'Kuno, Misaki', 'Tadokoro, Azusa', 'Nakahara, Mai', 'Okiayu, Ryotaro', 'Koshimizu, Ami', 'Sakaguchi, Daisuke']",TV,2016
279,280,Nekomonogatari: Kuro,8.04,,https://myanimelist.net/anime/15689/Nekomonogatari__Kuro,"['Action', 'Adventure', 'Supernatural', 'Magic', 'Fantasy', 'Shounen']",A-1 Pictures,"['Suzuki, Tatsuhisa', 'Kaji, Yuki', 'Amamiya, Sora', 'Fukuyama, Jun', 'Takagi, Yuuhei', 'Kuno, Misaki', 'Yuuki, Aoi', 'Sakamoto, Maaya', 'Sugita, Tomokazu', 'Koiwai, Kotori']",TV,2018
280,281,Black Lagoon: The Second Barrage,8.26,,https://myanimelist.net/anime/1519/Black_Lagoon__The_Second_Barrage,"['Drama', 'Romance', 'Ecchi', 'School', 'Seinen']",Lerche,"['Anzai, Chika', 'Shimazaki, Nobunaga', 'Tomatsu, Haruka', 'Toyosaki, Aki', 'Izawa, Shiori', 'Nojima, Kenji', 'Asanuma, Shintaro', 'Kobayashi, Yuusuke', 'Fujii, Yukiyo']",TV,2017
